product_name,product_category,product_promo,product_price,quantity_sold,location
500ML Pet Deodorant Spray Biological Enzyme Spray Deodorizing for Cats and Dogs Deodorizing for Pets,Pet Grooming Supplies,Free Gift,₱77 - ₱157,7.7K sold,"Valenzuela City, Metro Manila"
Grooming Supplies Premium Dog Shampoo Dog Pet Essentials I Saint Roche,Pet Grooming Supplies,,₱155 - ₱455,778 sold,"Tondo I / Ii, Metro Manila"
Dog Toothbrush Set Cat Toothpaste Set Pet Supplies Mouth Cleaning Care,Pet Grooming Supplies,Any 3 enjoy 2% off,₱39 - ₱64,715 sold,"Valenzuela City, Metro Manila"
Pet Nail Clippers for Dog Cat Rabbit Grooming Claw Trimmers Scissors Cutter,Pet Grooming Supplies,₱ 28 | 3.30 ONLY,₱50,13.6K sold,"Pasay City, Metro Manila"
Furmomkhai Pet Ointment,Pet Grooming Supplies,,₱120,406 sold,"Silang, Cavite"
PLAYPETS SHAMPOO 1000mL,Pet Grooming Supplies,,₱265 - ₱299,8K sold,"Valenzuela City, Metro Manila"
1pc Pet toothbrush Transparent silicone finger toothbrush dog teeth cleaning finger cover,Pet Grooming Supplies,,₱20,46.5K sold,"Marilao, Bulacan"
Pet Dog Cat Nail Cutter Pet Grooming Tools With Nail File Pet Toe Care Stainless Nail Clippers,Pet Grooming Supplies,,₱75,5.1K sold,"Quiapo, Metro Manila"
Dog Cat Earwax Clean Ears Odor Remover Pet Ear Wipes Pets Cleaning Stop Itching Wet Wipe,Pet Grooming Supplies,Free Gift,₱44 - ₱119,11.1K sold,"Valenzuela City, Metro Manila"
Lint Fur Remover Device Cat Dog Hair Brush Pet Hair Remover Device Carpets Clothing Cleaning Lint,Pet Grooming Supplies,₱ 23 | 3.30 ONLY,₱49,918 sold,"Malabon City, Metro Manila"
Pet Toothbrush / Toothpaste Set  Dog Toothbrush Set Cat Toothbrush Set Pet Toothpaste,Pet Grooming Supplies,Any 3 enjoy 2% off,₱39 - ₱64,1.2K sold,"Valenzuela City, Metro Manila"
Pet Claw Nail Cutter Clipper For Puppy Dogs Cats,Pet Grooming Supplies,Free Gift,₱68,5.5K sold,"Valenzuela City, Metro Manila"
Pet Grooming Dry Shampoo For Dogs Deodorant Antipruritic Cat Dog Free Shower Dry Cleaning Powder,Pet Grooming Supplies,Any 5 enjoy 3% off,₱69 - ₱81,502 sold,"Malabon City, Metro Manila"
Pet Dryer Dog Portable Hair Dryer & Comb Pet Grooming Cat Hair Comb Dog Fur Blower Low Noise mini,Pet Grooming Supplies,,₱189,4.3K sold,"Malvar, Batangas"
Vetnoderm Medicated Herbal Soap for Dogs & Cats,Pet Grooming Supplies,wholesale,₱90,8.6K sold,"Quezon City, Metro Manila"
Pet hair knot brush effective pet untangled comb,Pet Grooming Supplies,,₱99 - ₱119,5.8K sold,"Marilao, Bulacan"
(wholesale)Mesh Cat Grooming Bath Bag Cat Hair Care Nails Nail Care Pet Grooming Pet Care net bag pet bag cat bagSupplies Trimming Injecting Anti Scratch Bite Restraint Washing Bags For Pet Bathing Nail,Pet Grooming Supplies,"Add-on Deal
Economy Delivery",₱58 - ₱63,11.6K sold,Mainland China
ODK SOAPS- Premium Pet Cologne Spray w/ Tea Tree Oil,Pet Grooming Supplies,,₱57 - ₱85,3.3K sold,"Santa Maria, Bulacan"
Dog Shampoo And Conditioner Anti Tick Fleas Antiseptic  Madre De Cacao Shampoo Cat And Puppy Shampoo,Pet Grooming Supplies,"5% off
Add-on Deal",₱83 - ₱97,5.5K sold,"Guiguinto, Bulacan"
Pawrence 2 in 1 Collagen Shampoo & Conditioner,Pet Grooming Supplies,Any 2 enjoy 5% off,₱199 - ₱259,4.5K sold,"Paete, Laguna"
Rechargeable Pet Cat Dog Hair Razor Trimmer Grooming Kit Electrical Clipper Cat Shaver Set 15PCS,Pet Grooming Supplies,Any 2 enjoy 3% off,₱9 - ₱359,2.8K sold,"Santa Rosa City, Laguna"
"4in1 Pet Dog Razor Hair Trimmer for Dogs , Multifunctional, Trimming, Nail Grinding, Waterproof",Pet Grooming Supplies,,₱799,3.4K sold,"Las Pinas City, Metro Manila"
FURFURLAND Dog & Cat Madre de Cacao Pet Shampoo & conditioner w/ Guava Extract Bundle,Pet Grooming Supplies,,₱119,1.7K sold,"Dasmarinas City, Cavite"
Saint Gertie Premium Organic Cat Shampoo,Pet Grooming Supplies,,₱159 - ₱459,4.4K sold,"Calamba City, Laguna"
Sticky Pet Fur Cleaner Hair Roller with Cover Clothes Cleaning Dust Removal Strong Sticky Reusable,Pet Grooming Supplies,₱ 36 | 3.30 ONLY,₱36 - ₱176,4.8K sold,"Valenzuela City, Metro Manila"
Dog & Cat Shampoo Neem Tree  Madre De Cacao Virgin Coconut Oil VCO Extract w/ conditioner PawsReward,Pet Grooming Supplies,,₱10 - ₱50,5.2K sold,"San Miguel, Bulacan"
Saint Roche Premium Dog BUNDLE Shampoo 628ml or 1050ml with Conditioner 500ml St COD,Pet Grooming Supplies,,₱719 - ₱799,5.3K sold,"Calamba City, Laguna"
400ml Pet dry bath foam Borammy waterless cleaner bath for Cats Dogs pets care dog dry shampoo,Pet Grooming Supplies,Any 3 enjoy 2% off,₱73 - ₱138,665 sold,"Valenzuela City, Metro Manila"
Dog Cat Comb Shower Bath Massage Brush Finger Brush Pet massage Glove,Pet Grooming Supplies,,₱38,2.5K sold,"Valenzuela City, Metro Manila"
Pet grooming bath comb shampoo dispenser Dog/Cat Bath Massage Brush Combcomb dog cat shower brush,Pet Grooming Supplies,Free Gift,₱18 - ₱32,2K sold,"Binondo, Metro Manila"
Dog Shampoo Pet Cat Puppy Shampoo Shower Gel Dog Bath Lotion Removing Fleas And Relieve Itching,Pet Grooming Supplies,₱ 18 | 3.30 ONLY,₱18 - ₱95,3.3K sold,"Pasay City, Metro Manila"
Saint Roche Premium Dry Shampoo 128g,Pet Grooming Supplies,,₱120,7.9K sold,"Calamba City, Laguna"
Premium Madre De Cacao Ointment (100 grams or 120 grams),Pet Grooming Supplies,,₱75 - ₱123,3.3K sold,"Caloocan City, Metro Manila"
Pet Dog Comb Brush Cat Comb Grooming Cleaning Comb Hair Fur Shedding Tool,Pet Grooming Supplies,₱ 87 | 3.30 ONLY,₱100,1.2K sold,"Pasay City, Metro Manila"
"8pcs set per sharp electric clipper/shaver/razor,hair clipper,pet care series,dog,hair removal,BINLU",Pet Grooming Supplies,₱33 off,₱400,5.5K sold,"Binondo, Metro Manila"
"Premium Madre De Cacao Dog Shampoo with Conditioner (250ml, 500 ml or 1 liter)",Pet Grooming Supplies,Add-on Deal,₱109 - ₱332,7.2K sold,"Caloocan City, Metro Manila"
ODK SOAPS - (2in1) Activated Charcoal Dog/Cat Shampoo & Conditioner with Madre De Cacao 1Liter,Pet Grooming Supplies,,₱99,5.6K sold,"Santa Maria, Bulacan"
Pet Dog Comb Cat Hair Brush Fur Removal Comb Pet Grooming Supplies,Pet Grooming Supplies,,₱186,897 sold,"Marilao, Bulacan"
KERATIN CONDITIONER FOR DOG & CAT,Pet Grooming Supplies,,₱60 - ₱130,7.7K sold,"Quezon City, Metro Manila"
Dog shampoo 1L l After-Bath Brush l Cologne,Pet Grooming Supplies,₱ 142 | 3.30 ONLY,₱158,2.1K sold,"Cainta, Rizal"
Pet Dog Comb Brush Cat Comb Grooming Cleaning Comb Hair Fur Shedding Tool,Pet Grooming Supplies,₱ 75 | 3.30 ONLY,₱200,714 sold,"Valenzuela City, Metro Manila"
Mr.Giggles Anti-Tick & Flea Dog Shampoo and Conditioner 1L,Pet Grooming Supplies,,₱230 - ₱360,6.3K sold,"Malate, Metro Manila"
Dog Towel thicken Super Absorbent Pet Bath Towel Microfiber Dog Drying Towel for Dogs and Cats,Pet Grooming Supplies,Any 3 enjoy 2% off,₱72 - ₱199,10.7K sold,"Valenzuela City, Metro Manila"
500ML DOG & CAT PET SHAMPOO,Pet Grooming Supplies,,₱220,386 sold,"Silang, Cavite"
Madre De Cacao Sixsik Kit (6 Items),Pet Grooming Supplies,"₱10 off
Add-on Deal",₱599,5.4K sold,"Caloocan City, Metro Manila"
Shilily  Magic Suyod Hair Comb Nit Comb Lice Terminator stainless steel comb Pet/Adult/Child,Pet Grooming Supplies,,₱99,333 sold,"San Nicolas, Metro Manila"
"FIPRO Prolific Tails Madre de Cacao Shampoo 1.892 Liters (Half Gallon) Anti Bacterial,Mange & Fungal",Pet Grooming Supplies,,₱110,9.1K sold,"Caloocan City, Metro Manila"
Pet Grooming Shampoo Dispenser Dog Bath Massage Brush Comb Bathroom Shower Brush for Dogs Cats,Pet Grooming Supplies,₱ 29 | 3.30 ONLY,₱18 - ₱29,23.2K sold,"Binondo, Metro Manila"
Saint Roche Premium Dog Coat Conditioner (500ml),Pet Grooming Supplies,,₱330,3.2K sold,"Quezon City, Metro Manila"
Madre de Cacao Shampoo & Conditioner with Guava Extracts - Strawberry Scent 1 Gallon FREE SOAP,Pet Grooming Supplies,₱ 159 | 3.30 ONLY,₱350,4.6K sold,"Pasig City, Metro Manila"
Dog Shampoo Pet Cat Puppy Shampoo Shower Gel Dog Bath Lotion Removing Fleas And Relieve Itching,Pet Grooming Supplies,₱ 120 | 3.30 ONLY,₱32 - ₱150,5K sold,"Binondo, Metro Manila"
Madre de cacao Dog Shampoo bundle pack - 2 Great Promo Scheme Option,Pet Grooming Supplies,,₱115 - ₱128,132.2K sold,"Cainta, Rizal"
Papi Groom Bloom Shampoo and Conditioner 525mL for Dogs and Cats,Pet Grooming Supplies,wholesale,₱155,7K sold,"Malolos City, Bulacan"
LP Madre de Cacao shampoo 1 Liter,Pet Grooming Supplies,,₱109,3.7K sold,"Calamba City, Laguna"
Sticky Hair Roller Pet Fur Remover Reusable Clothes Dust Fur Cleanning Roller,Pet Grooming Supplies,₱ 14 | 3.30 ONLY,₱14 - ₱34,6.4K sold,"Pasay City, Metro Manila"
Dog and Cat  Shampoo Bundle pack,Pet Grooming Supplies,,₱125 - ₱133,111.3K sold,"Cainta, Rizal"
Pet Hair Comb Protect Flea Comb for Cat Dog Stainless Steel Comfort Flea Hair Grooming Comb,Pet Grooming Supplies,,₱17 - ₱27,4K sold,"Tondo I / Ii, Metro Manila"
lint remover roller for clothes Fur remover lint roller refill hair remover roller,Pet Grooming Supplies,₱10 off,₱28 - ₱143,7.5K sold,"Valenzuela City, Metro Manila"
Lint Remover Roller For Pets Cat And Dog Hair Brush Carpet Clothing Cleaning Lint,Pet Grooming Supplies,₱ 89 | 3.30 ONLY,₱200,3.9K sold,"Marilao, Bulacan"
Sticky Pet Fur Cleaner Hair Roller with Cover Clothes Cleaning Dust Removal Strong Sticky Reusable,Pet Grooming Supplies,Free Gift,₱19 - ₱39,102.6K sold,"Valenzuela City, Metro Manila"
WALASTIK PETS Shampoo with Conditioner 500ML,Pet Grooming Supplies,,₱250,6.1K sold,"Bacoor, Cavite"
Shilily Pet Dog CAT Shampoo Brush Pet Bath Massage Brush Beauty soothing Silicone soft bristle brush,Pet Grooming Supplies,,₱598,1.4K sold,"San Nicolas, Metro Manila"
Pet Bath Brush Dogs Cats Bath Brush Massage Comb Bath Glove Pet Bath Brush,Pet Grooming Supplies,,₱18 - ₱29,8K sold,"Quezon City, Metro Manila"
"LKJ-Prolific Tails Madre De Cacao Shampoo Raspberry Scent Gallon Anti Mange, Fungal and Bacterial",Pet Grooming Supplies,,₱169,25K sold,"Caloocan City, Metro Manila"
Pet Puppy Dog Cat Hair Grooming Comb Brush Massage,Pet Grooming Supplies,,₱35,11.5K sold,"Quiapo, Metro Manila"
Dog and cat cologne 60ml baby powder scent,Pet Grooming Supplies,wholesale,₱70,3.6K sold,"Cainta, Rizal"
DOG CAT Rechargeable Electrical Pet Dog and Cat Hair Trimmer Animal Grooming Clippers Cutter Shaver,Pet Grooming Supplies,₱5 off,₱239,2.2K sold,"Tondo I / Ii, Metro Manila"
FIPRO-Prolific Sulfur Medicated Soap 135grams For Dogs and Cats For Prolonged Skin Problem,Pet Grooming Supplies,,₱59,19.1K sold,"Caloocan City, Metro Manila"
"""Free Soap"" 1 gallon Madre de Cacao with Guava extract Dog & Cat Shampoo/Conditioner",Pet Grooming Supplies,,₱155,2.2K sold,"Pasig City, Metro Manila"
500ml Dog & Cat Shampoo,Pet Grooming Supplies,,₱180,7.9K sold,"Silang, Cavite"
DEVEBY Pet Dry Shampoo Cleaning Powder Cat Dog Bathing Washing Anti Tick And Fleas,Pet Grooming Supplies,"₱10 off
Any 2 enjoy 2% off",₱75,1K sold,"Plaridel, Bulacan"
Eco Natural Pet Cologne Premium Scented Perfume Body Spray for Dogs and Cats by Pets Emporium PH,Pet Grooming Supplies,Add-on Deal,₱38 - ₱99,3K sold,"Baliuag, Bulacan"
"LKJ-Prolific Tails Madre De Cacao Shampoo Powder Scent Gallon (Anti Mange, Anti-Fungal & Bacterial)",Pet Grooming Supplies,,₱159,102.6K sold,"Caloocan City, Metro Manila"
Pet Bath Brush Pet Grooming Shampoo Dispenser Dog/Cat Bath Massage Brush Dog Hair Brush For Bath,Pet Grooming Supplies,Any 3 enjoy ₱5 off,₱11 - ₱27,2.1K sold,"Meycauayan City, Bulacan"
"FIPRO-Prolific Madre de Cacao Organic Soap 135grams For Dogs and Cats Anti Mange, Fungal and Septic",Pet Grooming Supplies,,₱79,14K sold,"Caloocan City, Metro Manila"
Dog & Cat Bath Massage Brush,Pet Grooming Supplies,,₱40 - ₱45,10.3K sold,"Quezon City, Metro Manila"
Dog Cat Pet Bath Brush Pet Grooming Soothe Massage Brush with Shampoo Dispenser Soft Silicone Bristl,Pet Grooming Supplies,,₱94,47K sold,"Tondo I / Ii, Metro Manila"
Madre De Cacao Dog Shampoo Bundle Pack with Silicon Bath Brush and Pet Soap,Pet Grooming Supplies,,₱169,4K sold,"Caloocan City, Metro Manila"
Madre de Cacao Shampoo & Conditioner with Moisturizer  Get Free Soap 1pc 50g,Pet Grooming Supplies,₱ 150 | 3.30 ONLY,₱150 - ₱154,4.4K sold,"Pasig City, Metro Manila"
Low-noise hair dryer for Pet Dog/Cat Mini hair Dryer Fast Drying 2800W,Pet Grooming Supplies,₱ 226 | 3.30 ONLY,₱468,2K sold,"Marilao, Bulacan"
Pet Comb Dog Brush Cat Comb  Flea Comb For Cats Stainless Steel Needle Grooming Supplies,Pet Grooming Supplies,,₱21 - ₱29,2.1K sold,"Quezon City, Metro Manila"
Madre de Cacao Shampoo & Conditioner with Guava Extract - Bubble Gum Scent 1 Liter FREE SOAP,Pet Grooming Supplies,₱ 79 | 3.30 ONLY,₱180,3.7K sold,"Pasig City, Metro Manila"
Madre de Cacao Shampoo & Conditioner with Guava Extract - Lavender Scent 1 Liter FREE SOAP,Pet Grooming Supplies,₱ 79 | 3.30 ONLY,₱180,4.5K sold,"Pasig City, Metro Manila"
Dog and Cat Shampoo 1 Liter Bundle Pack,Pet Grooming Supplies,Add-on Deal,₱180,18.6K sold,"Quezon City, Metro Manila"
Lint remover Sticky Roller Pet fur Cleaning Roller Pet hair fur remover roller,Pet Grooming Supplies,,₱15 - ₱35,6.4K sold,"Marilao, Bulacan"
Pet Grooming Gloves Premium Dog Hair Remover right hand,Pet Grooming Supplies,,₱15,2.9K sold,"Malabon City, Metro Manila"
