product_name,product_category,product_promo,product_price,quantity_sold,location
15g Liebao Cat Paste Chicken Tuna Cod Meat Cat Wet Food Cat Treat,Pet Food & Treats,,₱7,10.4K sold,"Tondo I / Ii, Metro Manila"
Jerhigh Dog Snack / Treats for Puppy / Adult 70g Duo Stick 50g Morning Time Bed Time 60g,Pet Food & Treats,Add-on Deal,₱77 - ₱82,5.2K sold,"Quezon City, Metro Manila"
Feline Gourmet - Wet Cat Food 400g,Pet Food & Treats,,₱64,37.8K sold,"Quezon City, Metro Manila"
"KOIKING Growth Koi Feed (454g, 1kg)",Pet Food & Treats,,₱103 - ₱205,3K sold,"Quezon City, Metro Manila"
Hamster Food Mix 500g l Plain l with Lab Blocks Treats l with Moringa Flakes & Vitavits,Pet Food & Treats,,₱50 - ₱68,2.2K sold,"Caloocan City, Metro Manila"
Dog/cat Goat Milk Powder 280g Pet Milk for all stages,Pet Food & Treats,₱ 72 | 3.30 ONLY,₱72 - ₱159,2.8K sold,"Marilao, Bulacan"
AOZI Dog Cat 430g Pure Wet Canned Food Food Cat Food Dog Food Dog Can Cat Can Wet 24/7 Pet Shop,Pet Food & Treats,,₱66 - ₱77,38K sold,"Tondo I / Ii, Metro Manila"
FASTSHIPPING SNEAKYPAWS POWDER 80g/40g food topper Appetite booster picky eater,Pet Food & Treats,,₱49 - ₱199,51.5K sold,"Makati City, Metro Manila"
Aozi Dog food canned pure natural organic food 430G,Pet Food & Treats,,₱68 - ₱70,3.9K sold,"Quezon City, Metro Manila"
Kit Cat Deboned Cat Wet Food Toppers 80g,Pet Food & Treats,wholesale,₱52,24.8K sold,"Valenzuela City, Metro Manila"
COSI Pet's Milk Lactose Free 1L (Milk for Dogs and Cats) Made in Australia,Pet Food & Treats,,₱145,6K sold,"Quezon City, Metro Manila"
Pet Dog Snack Cat Sausage Buy 1 Ship 3pcs 15g Pet Treat Pet Sausage Pet Snack Dog sausage Cat Snack,Pet Food & Treats,,₱10,2.7K sold,"Valenzuela City, Metro Manila"
Aozi Wet Dog Food in Can 430g,Pet Food & Treats,,₱66,131.9K sold,"Tondo I / Ii, Metro Manila"
AOZI ORGANIC CATFOOD 1KG,Pet Food & Treats,,₱180,4.5K sold,"Quezon City, Metro Manila"
HAMSTER DAILY FOODMIX w/ Treats & moringa (550g)/ Healthy Hamster mix with sun flower and corn,Pet Food & Treats,,₱40,9.7K sold,"Meycauayan City, Bulacan"
Apple Stick l Organic Apple l Chew Stick 20g,Pet Food & Treats,,₱22,6.6K sold,"Caloocan City, Metro Manila"
430g Aozi Dog Food in Dog Can Dog Wet Food Dog Accessories,Pet Food & Treats,,₱66 - ₱70,48.3K sold,"Tondo I / Ii, Metro Manila"
"WHISKAS Junior Kitten Food Pouch - Kitten Wet Food in Tuna Flavor (6-Pack), 80g.",Pet Food & Treats,Free Gift,₱198,25.6K sold,
Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 15g,Pet Food & Treats,₱ 4 | 3.30 ONLY,₱4 - ₱5,13.2K sold,"Binondo, Metro Manila"
Spirulina Tablet Food For Aquarium Spirulina For Fish Color,Pet Food & Treats,₱ 19 | 3.30 ONLY,₱19 - ₱29,2.7K sold,"Valenzuela City, Metro Manila"
Jerhigh Dog Wet Food in pouch 120g,Pet Food & Treats,wholesale,₱50,28.4K sold,"Valenzuela City, Metro Manila"
Nutricare Cat Food for All Life Stages 1kg Nutri Care,Pet Food & Treats,₱ 108 | 3.30 ONLY,₱195,5K sold,"Las Pinas City, Metro Manila"
100g Pet Snack Pet Treat Dog Treat Cat Treat Beef Cube Beef Stick Dog Snack,Pet Food & Treats,,₱25 - ₱100,65.5K sold,"Quezon City, Metro Manila"
AOZI ORGANIC DOGFOOD 1KG,Pet Food & Treats,,₱163 - ₱215,8.9K sold,"Quezon City, Metro Manila"
400g Maxwell Premium Real Tuna Canned Cat Food,Pet Food & Treats,wholesale,₱69,4.9K sold,"Tondo I / Ii, Metro Manila"
Okiko Platinum 100 Grams,Pet Food & Treats,,₱87 - ₱95,13.9K sold,"Pasay City, Metro Manila"
BEARING Jerky Treats Stick DOG Snack Treats 50g,Pet Food & Treats,₱ 49 | 3.30 ONLY,₱98,1.9K sold,"Las Pinas City, Metro Manila"
PEDIGREE Wet Food Pouch 130g for Dogs NEW PACKAGING!,Pet Food & Treats,,₱29 - ₱42,38.3K sold,"Dasmarinas City, Cavite"
Gigglesph Crowne Cat Can Wet Food 430g,Pet Food & Treats,Any 10 enjoy 2% off,₱68 - ₱71,4.9K sold,"Valenzuela City, Metro Manila"
"Okiko Black Pearl, Red Diamond & Head Power 100 Grams",Pet Food & Treats,,₱78 - ₱90,4.3K sold,"Pasay City, Metro Manila"
210g Dental Sticks Dentastix Dentastick Pet Snack Pet Treats Dog Food I My Dog Nutrition,Pet Food & Treats,,₱80,3.9K sold,"Tondo I / Ii, Metro Manila"
❤️❤️FOLOPETS Dog Food in Can 430g Dog Can Multi-Flavored Dog Food Pure Natural Organic Dog Food(9 Flavors),Pet Food & Treats,"₱5 off
Free Gift",₱35 - ₱62,747 sold,"Guiguinto, Bulacan"
Aozi Cat Can 430g Cat Wet Food Cat Pet Essentials 24/7 Pet Shop,Pet Food & Treats,,₱77,14.8K sold,"Tondo I / Ii, Metro Manila"
Catnip cat mint ball cat snack treats toy ball,Pet Food & Treats,,₱19 - ₱62,5.2K sold,"Marilao, Bulacan"
88g/ 148g Zert Dentacare Dessert Dog Dental Sticks Dog Snack Dog Treats Dog Food Dog Pet Essentials,Pet Food & Treats,,₱116,5.6K sold,"Tondo I / Ii, Metro Manila"
"PEDIGREE Puppy Food – Wet Dog Food for Puppy in Chicken Flavor in Gravy (3-Pack), 130g.",Pet Food & Treats,₱ 115 | 3.30 ONLY,₱127,16.4K sold,
Goodest Cat Chicken Chomp Pack of 12 Wet Cat Food Pouch (85g),Pet Food & Treats,₱ 327 | 3.30 ONLY,₱330,5.7K sold,
Cat Snack Assorted 15g,Pet Food & Treats,,₱5 - ₱7,13.2K sold,"Quezon City, Metro Manila"
Special Dog Pate Can Wet Food 400g Monge,Pet Food & Treats,,₱75,22.2K sold,"Las Pinas City, Metro Manila"
Nutricare Catfood 1KG IMPROVED FORMULA,Pet Food & Treats,,₱120,9.2K sold,"Quezon City, Metro Manila"
Cat Snacks Natural Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 15g,Pet Food & Treats,₱ 4 | 3.30 ONLY,₱4 - ₱5,11.1K sold,"Guiguinto, Bulacan"
70g/ 200g Calcium Milky Biscuit Pet Plus Dog Treat Dog Snack Dog Food Pet Essentials,Pet Food & Treats,,₱117,5.9K sold,"Tondo I / Ii, Metro Manila"
Brit Premium by Nature 400g Dog Wet Food,Pet Food & Treats,,₱73 - ₱77,15.4K sold,"Tondo I / Ii, Metro Manila"
Ciao Wet Cat Food Toppers 40g,Pet Food & Treats,wholesale,₱33,38.9K sold,"Valenzuela City, Metro Manila"
Cat Food 1pcs Cat Snack Treats 15g Cat Strip Fresh Wet Food Pack Liquid Nutrition Cats Big Kitten,Pet Food & Treats,₱ 5 | 3.30 ONLY,₱16,127.6K sold,"Binondo, Metro Manila"
Dog Treats Snacks 100g Pet Food Snacks Chicken Beef Cheese Cube and Stick,Pet Food & Treats,Free Gift,₱64,5.8K sold,"Marilao, Bulacan"
100g Aozi Pouch Natural Organic Dog Wet Food Dog Essential,Pet Food & Treats,,₱37 - ₱38,15.9K sold,"Tondo I / Ii, Metro Manila"
Ciao Premium Can Jelly Wet Cat Food 85g x 1 Can,Pet Food & Treats,wholesale,₱69,26.3K sold,"Pasig City, Metro Manila"
Chexers Rabbit Pellet  1kg,Pet Food & Treats,,₱41 - ₱47,29.6K sold,"Caloocan City, Metro Manila"
360g YaHo Dog Dental Sticks Dental Stick Treats for Dog Dentastix Dog Food Dog Snack(53± sticks),Pet Food & Treats,Free Gift,₱67 - ₱167,13.2K sold,"Valenzuela City, Metro Manila"
AOZI PURE NATURAL ORGANIC CANS FOR DOGS,Pet Food & Treats,,₱70 - ₱75,33.6K sold,"Quezon City, Metro Manila"
400g Kitcat Kit Cat Wild Caught Grain Free Can Cat Food Cat Essentials,Pet Food & Treats,,₱80 - ₱82,12.7K sold,"Tondo I / Ii, Metro Manila"
Hep Hamster Food Treats / Sunflower / Oats / Pellet / Others Treats,Pet Food & Treats,,₱14 - ₱38,21.1K sold,"Valenzuela City, Metro Manila"
Jerhigh Pouch (Wet Dog Foods) 120g,Pet Food & Treats,,₱47,41.4K sold,"Tondo I / Ii, Metro Manila"
Kitcat Super Premium Can Cat Food Grain Free 400g Wet Food,Pet Food & Treats,,₱80,37.2K sold,"Tondo I / Ii, Metro Manila"
"SHEBA Wet Food for Cats – Tuna and Bream Flavor Cat Food Wet (6-Pack), 70g.",Pet Food & Treats,Free Gift,₱252,6.4K sold,
MAXWELL WET CATFOOD 400g,Pet Food & Treats,,₱68,6.2K sold,"Tondo I / Ii, Metro Manila"
Luscious 【Buy 1 FREE 1】15 grams Sausage Pet Treat Pet Sausage Treat Pet Snack Dog Treat Cat Treat,Pet Food & Treats,Free Gift,₱15,8.4K sold,"Tondo I / Ii, Metro Manila"
Cuties Catz Cat Dry Food 1kg,Pet Food & Treats,,₱135,66.7K sold,"Malate, Metro Manila"
Pet Plus Calcium Milky Biscuits (70g-200g),Pet Food & Treats,,₱65 - ₱125,11.5K sold,"Valenzuela City, Metro Manila"
Jerhigh Dog Treat for Adult Dog Snack Food (70g&50g),Pet Food & Treats,,₱80,43.8K sold,"Tondo I / Ii, Metro Manila"
Kitcat Gourmet with Goat Milk in Can 70g Wet Food,Pet Food & Treats,,₱52,30K sold,"Tondo I / Ii, Metro Manila"
220g My Dog Nutrition Dental Sticks Dentastix Dentastick Pet Snack Pet Treats,Pet Food & Treats,₱ 94 | 3.30 ONLY,₱150,3.1K sold,"Pasay City, Metro Manila"
100g Pet Snack Dog Treats Pet Dog Treat Chicken Cheese Cube Beef Cube Beef Stick Dog Snack,Pet Food & Treats,₱ 27 | 3.30 ONLY,₱60,5.1K sold,"Valenzuela City, Metro Manila"
100G Chicken Jerky Pet Food Dog Food Pet Treat Dog Treat Dental Treats,Pet Food & Treats,₱ 47 | 3.30 ONLY,₱28 - ₱51,30.7K sold,"Binondo, Metro Manila"
NaturLife Grain-Free Wet Cat Food 400g,Pet Food & Treats,wholesale,₱68,25.6K sold,"Valenzuela City, Metro Manila"
Jerhigh Dog Snacks 50-70g,Pet Food & Treats,wholesale,₱82,36.5K sold,"Valenzuela City, Metro Manila"
Treat Dog Treat Pet Snack Pet 100g Cube Beef Cube Cheese Chicken Snack Dog Stick Beef,Pet Food & Treats,,₱38,8.7K sold,"Taguig City, Metro Manila"
"PEDIGREE Wet Food for Dogs (6-Pack), 130g. - Dog Food for Adults with Chicken Flavor in Gravy",Pet Food & Treats,₱ 210 | 3.30 ONLY,₱232,17.4K sold,
400g Brit Premium by Nature Wet Dog Food Can Dog Essentials,Pet Food & Treats,Any 24 enjoy ₱10 off,₱73 - ₱77,13.2K sold,"Tondo I / Ii, Metro Manila"
Powercat Organic Dry Cat Food [Halal] 7kg-8kg,Pet Food & Treats,,"₱1,510",8.7K sold,"Valenzuela City, Metro Manila"
"WHISKAS Cat Food Wet Pouch - Tuna Flavor Wet Food for Cats Aged 1+ Years (6-Pack), 80g.",Pet Food & Treats,Free Gift,₱180,15.3K sold,
"WHISKAS Junior Kitten Food Pouch - Kitten Wet Food in Tuna Flavor (12-Pack), 80g.",Pet Food & Treats,₱ 358 | 3.30 ONLY,₱396,16.4K sold,
Maxwell Premium Real Tuna Canned Cat Food 400g,Pet Food & Treats,,₱68,58.6K sold,"Tondo I / Ii, Metro Manila"
Dog Treats Snacks 100g Chicken Beef Cheese Cube and Stick Pet Food Snacks,Pet Food & Treats,,₱64,18.8K sold,"Marilao, Bulacan"
Assorted Dental Sticks My Dog Nutrition Dental Sticks Dentastix Dentastick Pet Snack Pet Treats,Pet Food & Treats,10% off,₱80 - ₱168,90.4K sold,"Quezon City, Metro Manila"
Jerhigh DOG TREATS for DOGS Adult Puppy 70g & 50g Dog Snack Snacks,Pet Food & Treats,₱ 77 | 3.30 ONLY,₱95,278.6K sold,"Las Pinas City, Metro Manila"
Feline Gourmet Catfood 400G,Pet Food & Treats,,₱65 - ₱68,32.6K sold,"Pasig City, Metro Manila"
"Aozi CAT Wet Food 430g ""NEW BATCH & LABEL""",Pet Food & Treats,wholesale,₱76,130.9K sold,"Makati City, Metro Manila"
"PEDIGREE Wet Food for Dogs (3-Pack), 130g. Dog Food Adult with Chicken and Liver Flavor in Gravy",Pet Food & Treats,Free Gift,₱116,17.4K sold,
Dog and Cat Treats Pet Food Cartoon Shape and Spherical Biscuits Pet Snacks,Pet Food & Treats,,₱22 - ₱28,10.1K sold,"Valenzuela City, Metro Manila"
Aozi Organic CAT Food pure natural 430g CAN,Pet Food & Treats,,₱78 - ₱79,25.6K sold,"Las Pinas City, Metro Manila"
"WHISKAS Cat Food Wet Pouch - Tuna Flavor Wet Food for Cats Aged 1+ Years (12-Pack), 80g.",Pet Food & Treats,₱ 325 | 3.30 ONLY,₱360,14.7K sold,
100g Pet Snack Pet Treat Dog Treat Chicken Cheese Cube Beef Cube Beef Stick Dog Snack,Pet Food & Treats,₱ 25 | 3.30 ONLY,₱27 - ₱29,33.5K sold,"Binondo, Metro Manila"
