product_name,product_category,product_promo,product_price,quantity_sold,location
HIJAU Green gambir Sap - To Harden Chicken Leg Scales,Others,15% coins cashback,₱232,217 sold,Indonesia
Pet Vaccination Card Vet Card Vet Certificate,Others,wholesale,₱24,3.3K sold,"Dasmarinas City, Cavite"
Petonix Diatomaceous Earth Powder Feed Grade 1kg (DE powder),Others,,₱170,1.1K sold,"Malabon City, Metro Manila"
W3001 incubator kit FREE SHIPPING (incubator Set WITH WIRING DIAGRAM),Others,,"₱1,200",354 sold,"Guiguinto, Bulacan"
Anubias nana LiveAquariumPlants (Actual size),Others,,₱250,312 sold,"Pasay City, Metro Manila"
Bioline Deodorizing Spray Eliminates Unpleasant Smell for Dogs 175ml,Others,,₱119,111 sold,"Quezon City, Metro Manila"
V-22 Tablet (V22 Tablet) Multivitamins + Minerals 100 Tablets,Others,,₱150 - ₱265,213 sold,"Valenzuela City, Metro Manila"
Vetracin Classic 1kg / 5g x 48 NEW PRICE,Others,,₱620 - ₱760,260 sold,"Plaridel, Bulacan"
Gamefowl 3in1 Kit Chicks toe puncher + Chicken nose marker pliers+ Feather scissor for Farm Cock,Others,"₱10 off
Free Gift",₱539,392 sold,"Valenzuela City, Metro Manila"
EZE Lap Diamond Sharpener  (SUPER FINE 1200 grits) for Gamefowl Gaffing Accessories,Others,,"₱1,550",78 sold,"Caloocan City, Metro Manila"
"1 pc. 2023  PHA/PHIL PIGEON  FOOT RING , with base serial # PIGEON  legband.",Others,,₱20,1.2K sold,"Angeles City, Pampanga"
HYPERDRIVE - DOC IKE PRODUCTS 30ml,Others,,₱370,191 sold,"Santa Cruz, Laguna"
RAT OFF SPRAY ANTI RAT BITE,Others,,₱239,3.7K sold,"Valenzuela City, Metro Manila"
Porcelain Shar Pei Cat Ceramics Urn Cremation Funeral Pet Cat Dog Memorial Keepsake Urns Storage,Others,Free Gift,₱414 - ₱837,66 sold,Mainland China
Wingbands zip type beige 25pcs free stamping of farm name,Others,,₱325,31 sold,"Antipolo City, Rizal"
Bioline Deodorizing Spray for Cats Eliminate Unpleasant Smell 175ml,Others,,₱129,86 sold,"Quezon City, Metro Manila"
joiea 12 sheets  PET WET TISSUE WIPES HYGIENE CAT DOG EYE EAR PAW TEAR STAIN REMOVAL,Others,,₱20,233 sold,"Marilao, Bulacan"
1.0/1.3mm Side/End Opening PVC Cat Urinary Catheter Without Stylus,Others,,₱399,100 sold,"Santa Cruz, Metro Manila"
Wild Alaskan Salmon Oil + Virgin Coconut oil  Omega 3 Skin & Coat Support Dog & Cat Supplement,Others,,₱598,10 sold,"Caloocan City, Metro Manila"
NITROBACTA 10/20 grams Repack,Others,Mindanao Specials,₱130,267 sold,"Davao City, Davao Del Sur"
Customized Personalized Wingband for Gamefowl Panabong per pc,Others,,₱25,1.9K sold,"Bustos, Bulacan"
6.5 KG Colorful Ceramics urns cremation urns pet urns pet ashes cat dog ashes mabilis na pagpapadala,Others,Free Gift,"₱1,189",83 sold,Mainland China
"10 Pcs 1/2“, 3/4” Bayonet Nipple drinkers Poultry Chicken coop Accessories",Others,"5% off
Any 10 enjoy 1% off",₱128 - ₱175,5.5K sold,Mainland China
Talisay leaves sunbaked 50 pcs only with FREEBIES,Others,wholesale,₱15,12.5K sold,"Caloocan City, Metro Manila"
Akita Cockroach Killing Bait 10pcs,Others,Add-on Deal,₱150,1.8K sold,"Malasiqui, Pangasinan"
