product_name,product_category,product_promo,product_price,quantity_sold,location
Victery Pills and Ebios for Pigeons on Hand 50 pieces with Freebies LOWEST IN SHOPEE,Pet Essentials,,₱90 - ₱110,684 sold,"Cainta, Rizal"
WALASTIK PETS TICKSHIELD! Tick & Flea SPOT-ON,Pet Essentials,,₱198 - ₱318,1.2K sold,"Bacoor, Cavite"
Himalaya Immunol Tablet for dogs and cats (60 tabs),Pet Essentials,wholesale,₱313,1.7K sold,"Dasmarinas City, Cavite"
Pet Collar Dog Collar Cat Collar Anti Tick Mite Flea Collar for Pet Kitten Puppy Lasting Protection,Pet Essentials,"5% off
Add-on Deal",₱5 - ₱21,13.8K sold,"Guiguinto, Bulacan"
Garapata Remover for Dog Tick Away Spray 100ml for Dogs & Cats Anti-Tick Garapata Flea Pulgas Lice,Pet Essentials,Any 3 enjoy ₱10 off,₱99,541 sold,"Plaridel, Bulacan"
"Himalaya Nefrotec DS Tabs , Immunol Tabs, Liv.52 forte Tabs, Liv.52 Tabs For Pets (60tabs)",Pet Essentials,,₱229 - ₱330,1K sold,"Caloocan City, Metro Manila"
MULTIVITAMINS+AMINO ACIDS+ELECTROLYTES 1 KILOGRAM,Pet Essentials,,₱240,3.5K sold,"Santa Maria, Bulacan"
Amazon Meds Methylene Blue | Anti-Chlorine 150ml,Pet Essentials,"wholesale
Visayas Specials",₱35,17.9K sold,"Minglanilla, Cebu"
IMMUNOL Liquid or Tablet by HIMALAYA Liquid Syrup Tablet,Pet Essentials,₱ 274 | 3.30 ONLY,₱274 - ₱330,5.5K sold,"Las Pinas City, Metro Manila"
PROXANTEL Dewormer - Sold per tablet /piece with STICKER,Pet Essentials,,₱45,21.1K sold,"Santa Rosa City, Laguna"
Humicvet 1 Liter Liquid Supplement for All Pets Appetite and Immunity Booster,Pet Essentials,Add-on Deal,₱118,2.5K sold,"Quezon City, Metro Manila"
DETICK RED / DETICK PLUS BLUE / ALPROCIDE + Free Syringe Spot On 1cc & 2cc Anti Tick & Flea,Pet Essentials,₱ 36 | 3.30 ONLY,₱36 - ₱96,106.7K sold,"Las Pinas City, Metro Manila"
Papi OB Pregnant Pets 120ML,Pet Essentials,,₱121,9.1K sold,"Dasmarinas City, Cavite"
1kg Cecical Powder (Calcium) Feed Additive (Vitamin & Minerals) for Animals poultry pigs feed premix,Pet Essentials,"₱10 off
Any 2 enjoy ₱20 off",₱500,658 sold,"San Fernando City, Pampanga"
"LC-VIT Syrup (Multivitamins) for Pets Dogs, Cats, Rabbit (60ml / 120ml)",Pet Essentials,,₱78 - ₱118,1.6K sold,"Angeles City, Pampanga"
